date,open,close,high,low,volume,factor
2023-06-01 00:00:00,27210.36000000,27065.77000000,27350.00000000,27023.35000000,2772.82443000,1.0
2023-06-01 01:00:00,27065.76000000,27078.56000000,27165.47000000,27059.74000000,1785.47203000,1.0
2023-06-01 02:00:00,27078.56000000,26719.26000000,27114.16000000,26640.00000000,3775.37874000,1.0
2023-06-01 03:00:00,26719.26000000,26779.94000000,26838.89000000,26605.05000000,2879.51275000,1.0
2023-06-01 04:00:00,26779.93000000,26804.15000000,26822.81000000,26746.00000000,1223.77081000,1.0
2023-06-01 05:00:00,26804.14000000,26849.20000000,26863.62000000,26784.89000000,786.73960000,1.0
2023-06-01 06:00:00,26849.20000000,26785.13000000,26883.60000000,26778.08000000,1305.19049000,1.0
2023-06-01 07:00:00,26785.14000000,26802.67000000,26864.09000000,26764.16000000,1298.07343000,1.0
2023-06-01 08:00:00,26802.66000000,26912.53000000,26922.76000000,26790.96000000,1139.43470000,1.0
2023-06-01 09:00:00,26912.54000000,26908.63000000,26951.07000000,26899.54000000,1023.37411000,1.0
2023-06-01 10:00:00,26908.63000000,26860.00000000,26934.83000000,26858.33000000,894.72110000,1.0
2023-06-01 11:00:00,26860.00000000,26892.96000000,26905.02000000,26841.65000000,1218.03791000,1.0
2023-06-01 12:00:00,26892.95000000,26941.79000000,26964.88000000,26782.53000000,1939.00748000,1.0
2023-06-01 13:00:00,26941.80000000,26891.74000000,26971.07000000,26867.95000000,1377.22419000,1.0
2023-06-01 14:00:00,26891.74000000,26898.08000000,26981.34000000,26833.01000000,2050.06214000,1.0
2023-06-01 15:00:00,26898.07000000,26894.48000000,26947.24000000,26860.01000000,1115.38165000,1.0
2023-06-01 16:00:00,26894.47000000,27092.08000000,27175.00000000,26795.06000000,3182.53568000,1.0
2023-06-01 17:00:00,27092.07000000,26956.94000000,27137.42000000,26916.29000000,2445.80688000,1.0
2023-06-01 18:00:00,26956.93000000,26964.77000000,27048.43000000,26938.06000000,907.67826000,1.0
2023-06-01 19:00:00,26964.76000000,26862.68000000,26984.68000000,26656.00000000,2438.22631000,1.0
2023-06-01 20:00:00,26862.68000000,26863.00000000,26919.99000000,26828.82000000,875.88118000,1.0
2023-06-01 21:00:00,26862.99000000,26889.84000000,26942.98000000,26855.77000000,837.24211000,1.0
2023-06-01 22:00:00,26889.85000000,26880.97000000,26902.43000000,26849.43000000,751.81829000,1.0
2023-06-01 23:00:00,26880.97000000,26817.93000000,26883.51000000,26713.34000000,1194.41453000,1.0
2023-06-02 00:00:00,26817.93000000,26786.03000000,26824.64000000,26505.00000000,3258.76190000,1.0
2023-06-02 01:00:00,26786.04000000,26811.90000000,26849.09000000,26716.80000000,1616.17119000,1.0
2023-06-02 02:00:00,26811.89000000,26960.01000000,26984.26000000,26811.89000000,1391.57953000,1.0
2023-06-02 03:00:00,26960.01000000,27000.00000000,27017.00000000,26932.16000000,749.52898000,1.0
2023-06-02 04:00:00,27000.01000000,27068.27000000,27120.00000000,26949.40000000,1679.75278000,1.0
2023-06-02 05:00:00,27068.27000000,27152.60000000,27213.00000000,27064.96000000,2395.14389000,1.0
2023-06-02 06:00:00,27152.60000000,27071.06000000,27164.94000000,27068.00000000,1558.53392000,1.0
2023-06-02 07:00:00,27071.05000000,27049.65000000,27114.16000000,27045.80000000,1223.21395000,1.0
2023-06-02 08:00:00,27049.65000000,27166.14000000,27172.39000000,27049.38000000,984.41797000,1.0
2023-06-02 09:00:00,27166.13000000,27080.68000000,27183.07000000,27068.47000000,1108.38127000,1.0
2023-06-02 10:00:00,27080.68000000,27096.99000000,27104.20000000,27061.60000000,603.14207000,1.0
2023-06-02 11:00:00,27096.98000000,27130.75000000,27171.46000000,27072.55000000,881.16869000,1.0
2023-06-02 12:00:00,27130.75000000,27095.42000000,27240.00000000,26987.00000000,3559.44337000,1.0
2023-06-02 13:00:00,27095.43000000,26908.84000000,27134.40000000,26860.71000000,2607.33789000,1.0
2023-06-02 14:00:00,26908.85000000,26964.74000000,26986.08000000,26890.00000000,1685.83953000,1.0
2023-06-02 15:00:00,26964.75000000,27095.92000000,27107.34000000,26962.99000000,1248.06997000,1.0
2023-06-02 16:00:00,27095.93000000,27056.06000000,27120.02000000,27032.93000000,1402.81796000,1.0
2023-06-02 17:00:00,27056.06000000,27057.58000000,27093.82000000,27023.58000000,952.23822000,1.0
2023-06-02 18:00:00,27057.57000000,27192.60000000,27193.62000000,27006.22000000,1502.23473000,1.0
2023-06-02 19:00:00,27192.61000000,27239.02000000,27287.64000000,27131.02000000,2437.06595000,1.0
2023-06-02 20:00:00,27239.03000000,27172.84000000,27274.10000000,27172.84000000,1339.76508000,1.0
2023-06-02 21:00:00,27172.84000000,27207.40000000,27246.11000000,27143.37000000,868.89438000,1.0
2023-06-02 22:00:00,27207.41000000,27262.92000000,27300.00000000,27199.00000000,855.95607000,1.0
2023-06-02 23:00:00,27262.91000000,27242.59000000,27269.22000000,27229.90000000,471.44340000,1.0
2023-06-03 00:00:00,27242.59000000,27165.09000000,27242.60000000,27152.20000000,678.25975000,1.0
2023-06-03 01:00:00,27165.08000000,27130.40000000,27189.40000000,27092.00000000,1101.74244000,1.0
2023-06-03 02:00:00,27130.41000000,27153.26000000,27169.26000000,27129.17000000,612.83696000,1.0
2023-06-03 03:00:00,27153.26000000,27143.20000000,27171.47000000,27131.89000000,323.04687000,1.0
2023-06-03 04:00:00,27143.20000000,27160.24000000,27163.77000000,27105.73000000,420.01096000,1.0
2023-06-03 05:00:00,27160.24000000,27157.20000000,27168.40000000,27137.34000000,370.29837000,1.0
2023-06-03 06:00:00,27157.20000000,27182.35000000,27212.78000000,27157.20000000,551.27991000,1.0
2023-06-03 07:00:00,27182.35000000,27174.42000000,27200.01000000,27165.23000000,480.87524000,1.0
2023-06-03 08:00:00,27174.42000000,27146.62000000,27181.00000000,27141.94000000,394.76994000,1.0
2023-06-03 09:00:00,27146.62000000,27151.51000000,27151.52000000,27129.41000000,379.06522000,1.0
2023-06-03 10:00:00,27151.51000000,27140.00000000,27180.03000000,27112.73000000,736.47675000,1.0
2023-06-03 11:00:00,27139.99000000,27129.79000000,27171.48000000,27123.74000000,510.67532000,1.0
2023-06-03 12:00:00,27129.78000000,27165.81000000,27173.73000000,27129.78000000,479.78328000,1.0
2023-06-03 13:00:00,27165.81000000,27166.98000000,27183.99000000,27149.88000000,520.87423000,1.0
2023-06-03 14:00:00,27166.97000000,27171.24000000,27193.62000000,27166.97000000,439.74420000,1.0
2023-06-03 15:00:00,27171.25000000,27305.26000000,27333.29000000,27126.85000000,1647.91895000,1.0
2023-06-03 16:00:00,27305.27000000,27248.48000000,27318.63000000,27227.19000000,1156.43612000,1.0
2023-06-03 17:00:00,27248.49000000,27160.90000000,27253.57000000,27111.79000000,1185.19741000,1.0
2023-06-03 18:00:00,27160.91000000,27147.43000000,27183.09000000,27125.34000000,634.17095000,1.0
2023-06-03 19:00:00,27147.44000000,27096.36000000,27163.13000000,27025.59000000,1111.95350000,1.0
2023-06-03 20:00:00,27096.37000000,27062.33000000,27124.68000000,27054.41000000,698.85558000,1.0
2023-06-03 21:00:00,27062.34000000,27004.41000000,27074.66000000,26914.93000000,1401.33078000,1.0
2023-06-03 22:00:00,27004.41000000,27071.55000000,27079.79000000,27004.40000000,431.07884000,1.0
2023-06-03 23:00:00,27071.55000000,27069.22000000,27085.51000000,27050.38000000,328.65960000,1.0
2023-06-04 00:00:00,27069.22000000,27005.13000000,27069.23000000,27001.59000000,492.52090000,1.0
2023-06-04 01:00:00,27005.13000000,27041.03000000,27079.79000000,26951.00000000,704.48666000,1.0
2023-06-04 02:00:00,27041.04000000,27091.27000000,27100.43000000,27034.13000000,448.49261000,1.0
2023-06-04 03:00:00,27091.28000000,27061.38000000,27091.28000000,27042.85000000,372.13858000,1.0
2023-06-04 04:00:00,27061.37000000,27054.95000000,27083.56000000,27042.37000000,377.40749000,1.0
2023-06-04 05:00:00,27054.95000000,27038.63000000,27056.47000000,27027.00000000,250.41259000,1.0
2023-06-04 06:00:00,27038.62000000,27127.78000000,27141.70000000,27038.62000000,892.17539000,1.0
2023-06-04 07:00:00,27127.78000000,27150.45000000,27163.94000000,27127.78000000,938.24329000,1.0
2023-06-04 08:00:00,27150.46000000,27150.82000000,27158.12000000,27123.81000000,458.66225000,1.0
2023-06-04 09:00:00,27150.81000000,27215.89000000,27249.86000000,27150.81000000,806.34780000,1.0
2023-06-04 10:00:00,27215.88000000,27221.05000000,27230.17000000,27190.34000000,532.53164000,1.0
2023-06-04 11:00:00,27221.06000000,27198.55000000,27235.67000000,27175.51000000,939.50915000,1.0
2023-06-04 12:00:00,27198.54000000,27210.10000000,27216.58000000,27160.11000000,736.78595000,1.0
2023-06-04 13:00:00,27210.10000000,27245.46000000,27298.00000000,27206.36000000,963.22786000,1.0
2023-06-04 14:00:00,27245.47000000,27234.20000000,27271.05000000,27170.00000000,1120.61661000,1.0
2023-06-04 15:00:00,27234.20000000,27179.00000000,27244.58000000,27178.99000000,627.04149000,1.0
2023-06-04 16:00:00,27179.00000000,27170.66000000,27197.98000000,27155.00000000,709.24706000,1.0
2023-06-04 17:00:00,27170.66000000,27176.76000000,27210.41000000,27168.05000000,429.63017000,1.0
2023-06-04 18:00:00,27176.75000000,27194.18000000,27209.03000000,27176.75000000,488.86549000,1.0
2023-06-04 19:00:00,27194.19000000,27213.11000000,27222.00000000,27188.49000000,358.87616000,1.0
2023-06-04 20:00:00,27213.11000000,27241.51000000,27269.09000000,27205.84000000,546.99091000,1.0
2023-06-04 21:00:00,27241.50000000,27194.57000000,27280.00000000,27187.39000000,630.62225000,1.0
2023-06-04 22:00:00,27194.57000000,27234.06000000,27455.02000000,27188.27000000,3633.43419000,1.0
2023-06-04 23:00:00,27234.06000000,27115.21000000,27319.84000000,27043.65000000,1800.14400000,1.0
2023-06-05 00:00:00,27115.20000000,27024.76000000,27129.33000000,26966.00000000,1770.73298000,1.0
2023-06-05 01:00:00,27024.75000000,27047.14000000,27054.97000000,26948.10000000,1087.24287000,1.0
2023-06-05 02:00:00,27047.14000000,26922.71000000,27079.05000000,26859.00000000,1366.64750000,1.0
2023-06-05 03:00:00,26922.72000000,26843.58000000,26924.81000000,26791.04000000,2225.14224000,1.0
2023-06-05 04:00:00,26843.57000000,26837.00000000,26870.54000000,26769.51000000,1119.14678000,1.0
2023-06-05 05:00:00,26837.00000000,26816.70000000,26837.91000000,26740.38000000,1838.23930000,1.0
2023-06-05 06:00:00,26816.70000000,26765.34000000,26834.63000000,26761.26000000,1222.38539000,1.0
2023-06-05 07:00:00,26765.33000000,26829.99000000,26832.38000000,26742.13000000,1242.36100000,1.0
2023-06-05 08:00:00,26830.00000000,26798.64000000,26840.77000000,26794.79000000,837.57029000,1.0
2023-06-05 09:00:00,26798.63000000,26776.99000000,26825.09000000,26713.74000000,1324.97756000,1.0
2023-06-05 10:00:00,26777.00000000,26716.80000000,26792.70000000,26714.00000000,1350.86586000,1.0
2023-06-05 11:00:00,26716.80000000,26773.39000000,26799.66000000,26668.00000000,1210.05222000,1.0
2023-06-05 12:00:00,26773.39000000,26690.76000000,26782.63000000,26654.39000000,1525.13085000,1.0
2023-06-05 13:00:00,26690.76000000,26728.64000000,26765.30000000,26640.00000000,1517.52610000,1.0
2023-06-05 14:00:00,26728.63000000,26802.21000000,26817.61000000,26699.99000000,1631.85739000,1.0
2023-06-05 15:00:00,26802.21000000,26007.53000000,26809.59000000,26000.00000000,10045.19226000,1.0
2023-06-05 16:00:00,26007.53000000,25809.05000000,26074.51000000,25471.00000000,15303.29987000,1.0
2023-06-05 17:00:00,25809.05000000,25756.28000000,25809.70000000,25578.96000000,4108.63810000,1.0
2023-06-05 18:00:00,25756.27000000,25564.43000000,25756.28000000,25526.15000000,3580.96488000,1.0
2023-06-05 19:00:00,25564.42000000,25629.99000000,25637.82000000,25388.00000000,4463.15529000,1.0
2023-06-05 20:00:00,25630.00000000,25631.16000000,25680.01000000,25587.47000000,1859.43545000,1.0
2023-06-05 21:00:00,25631.15000000,25658.35000000,25685.84000000,25509.98000000,1572.51351000,1.0
2023-06-05 22:00:00,25658.35000000,25710.73000000,25774.90000000,25647.29000000,1838.09220000,1.0
2023-06-05 23:00:00,25710.74000000,25728.20000000,25858.42000000,25701.42000000,1764.43316000,1.0
2023-06-06 00:00:00,25728.20000000,25690.89000000,25756.34000000,25675.26000000,1829.55213000,1.0
2023-06-06 01:00:00,25690.89000000,25640.01000000,25695.59000000,25611.90000000,1515.07302000,1.0
2023-06-06 02:00:00,25640.02000000,25764.76000000,25801.09000000,25601.00000000,1638.10867000,1.0
2023-06-06 03:00:00,25764.76000000,25730.83000000,25764.76000000,25712.02000000,754.55594000,1.0
2023-06-06 04:00:00,25730.83000000,25797.65000000,25806.60000000,25726.11000000,679.57161000,1.0
2023-06-06 05:00:00,25797.66000000,25769.95000000,25821.41000000,25758.00000000,942.45063000,1.0
2023-06-06 06:00:00,25769.96000000,25766.21000000,25807.63000000,25752.60000000,1146.56549000,1.0
2023-06-06 07:00:00,25766.21000000,25722.33000000,25809.90000000,25706.18000000,1793.86272000,1.0
2023-06-06 08:00:00,25722.34000000,25707.80000000,25746.03000000,25670.90000000,1185.04880000,1.0
2023-06-06 09:00:00,25707.80000000,25750.76000000,25789.71000000,25691.72000000,791.97455000,1.0
2023-06-06 10:00:00,25750.75000000,25742.36000000,25797.00000000,25741.99000000,861.22598000,1.0
2023-06-06 11:00:00,25742.36000000,25686.64000000,25749.17000000,25640.33000000,1867.16747000,1.0
2023-06-06 12:00:00,25686.64000000,25533.41000000,25737.23000000,25351.02000000,5378.21189000,1.0
2023-06-06 13:00:00,25533.41000000,25735.20000000,25784.31000000,25385.80000000,4315.54458000,1.0
2023-06-06 14:00:00,25735.20000000,26024.73000000,26111.15000000,25735.20000000,6006.62536000,1.0
2023-06-06 15:00:00,26024.72000000,26066.11000000,26143.69000000,25925.85000000,2880.24787000,1.0
2023-06-06 16:00:00,26066.12000000,26369.99000000,26401.00000000,26066.11000000,3915.54382000,1.0
2023-06-06 17:00:00,26370.00000000,26669.16000000,26780.00000000,26290.56000000,8776.34470000,1.0
2023-06-06 18:00:00,26669.16000000,26698.08000000,26782.52000000,26637.64000000,2926.69288000,1.0
2023-06-06 19:00:00,26698.08000000,27080.13000000,27216.89000000,26690.93000000,6336.18815000,1.0
2023-06-06 20:00:00,27080.12000000,26944.98000000,27222.00000000,26857.92000000,5242.13695000,1.0
2023-06-06 21:00:00,26944.99000000,27057.03000000,27092.82000000,26938.06000000,2014.79907000,1.0
2023-06-06 22:00:00,27057.03000000,27152.65000000,27188.46000000,27044.34000000,1842.84082000,1.0
2023-06-06 23:00:00,27152.66000000,27230.08000000,27355.33000000,27120.02000000,3752.27128000,1.0
2023-06-07 00:00:00,27230.07000000,27179.80000000,27391.77000000,27163.06000000,2992.02834000,1.0
2023-06-07 01:00:00,27179.80000000,27085.83000000,27222.14000000,27065.89000000,2618.44012000,1.0
2023-06-07 02:00:00,27085.82000000,26943.69000000,27093.95000000,26912.69000000,2657.89391000,1.0
2023-06-07 03:00:00,26943.68000000,26909.01000000,26967.88000000,26720.47000000,3105.70144000,1.0
2023-06-07 04:00:00,26909.01000000,26933.12000000,26965.00000000,26874.76000000,1266.22184000,1.0
2023-06-07 05:00:00,26933.11000000,26912.99000000,26980.04000000,26871.71000000,1028.78255000,1.0
2023-06-07 06:00:00,26912.99000000,26829.30000000,26943.90000000,26814.71000000,1276.59358000,1.0
2023-06-07 07:00:00,26829.30000000,26795.87000000,26899.99000000,26753.01000000,1823.54312000,1.0
2023-06-07 08:00:00,26795.87000000,26816.47000000,26840.90000000,26761.41000000,1198.72003000,1.0
2023-06-07 09:00:00,26816.47000000,26486.28000000,26816.47000000,26428.58000000,3819.66805000,1.0
2023-06-07 10:00:00,26486.28000000,26595.74000000,26629.99000000,26352.00000000,3987.08298000,1.0
2023-06-07 11:00:00,26595.73000000,26896.14000000,26968.00000000,26579.60000000,3293.93935000,1.0
2023-06-07 12:00:00,26896.14000000,26802.35000000,26932.10000000,26743.02000000,2251.66556000,1.0
2023-06-07 13:00:00,26802.35000000,26818.62000000,26864.26000000,26670.94000000,2295.14329000,1.0
2023-06-07 14:00:00,26818.63000000,26443.57000000,26818.63000000,26340.55000000,5906.95885000,1.0
2023-06-07 15:00:00,26443.56000000,26349.52000000,26679.03000000,26236.00000000,5675.34980000,1.0
2023-06-07 16:00:00,26349.52000000,26329.16000000,26439.34000000,26240.47000000,3138.06466000,1.0
2023-06-07 17:00:00,26329.15000000,26507.04000000,26553.78000000,26272.63000000,2310.94402000,1.0
2023-06-07 18:00:00,26507.05000000,26472.94000000,26530.08000000,26441.56000000,1192.52054000,1.0
2023-06-07 19:00:00,26472.95000000,26482.42000000,26531.05000000,26442.37000000,1028.30470000,1.0
2023-06-07 20:00:00,26482.43000000,26359.93000000,26493.30000000,26317.40000000,1711.09205000,1.0
2023-06-07 21:00:00,26359.94000000,26156.00000000,26457.23000000,26125.01000000,2031.37972000,1.0
2023-06-07 22:00:00,26154.52000000,26275.90000000,26373.33000000,26132.40000000,1989.36987000,1.0
2023-06-07 23:00:00,26275.90000000,26339.34000000,26364.95000000,26257.35000000,1020.03527000,1.0
2023-06-08 00:00:00,26339.34000000,26390.01000000,26440.49000000,26305.11000000,1503.99009000,1.0
2023-06-08 01:00:00,26390.01000000,26443.60000000,26470.00000000,26383.90000000,1022.65527000,1.0
2023-06-08 02:00:00,26443.60000000,26386.51000000,26446.00000000,26363.48000000,1033.29331000,1.0
2023-06-08 03:00:00,26386.50000000,26344.17000000,26386.51000000,26210.00000000,1658.68120000,1.0
2023-06-08 04:00:00,26344.16000000,26400.97000000,26428.06000000,26326.19000000,718.48832000,1.0
2023-06-08 05:00:00,26400.96000000,26377.51000000,26435.22000000,26350.00000000,839.63098000,1.0
2023-06-08 06:00:00,26377.51000000,26427.34000000,26495.01000000,26290.19000000,1115.90348000,1.0
2023-06-08 07:00:00,26427.34000000,26444.69000000,26523.93000000,26416.92000000,1051.35051000,1.0
2023-06-08 08:00:00,26444.68000000,26441.54000000,26463.99000000,26403.87000000,620.38652000,1.0
2023-06-08 09:00:00,26441.55000000,26385.06000000,26444.18000000,26370.00000000,750.87232000,1.0
2023-06-08 10:00:00,26385.05000000,26484.77000000,26496.10000000,26368.04000000,799.15752000,1.0
2023-06-08 11:00:00,26484.77000000,26432.00000000,26504.94000000,26408.92000000,1034.12004000,1.0
2023-06-08 12:00:00,26432.01000000,26462.90000000,26575.95000000,26370.00000000,2417.66604000,1.0
2023-06-08 13:00:00,26462.90000000,26400.93000000,26479.00000000,26300.00000000,2457.93413000,1.0
2023-06-08 14:00:00,26400.92000000,26648.55000000,26686.87000000,26351.32000000,2988.17396000,1.0
2023-06-08 15:00:00,26648.54000000,26721.68000000,26810.00000000,26579.97000000,2794.16610000,1.0
2023-06-08 16:00:00,26721.69000000,26498.40000000,26732.24000000,26414.02000000,2839.83235000,1.0
2023-06-08 17:00:00,26498.39000000,26485.00000000,26515.12000000,26435.01000000,976.46959000,1.0
2023-06-08 18:00:00,26485.00000000,26550.00000000,26571.99000000,26442.00000000,1050.51441000,1.0
2023-06-08 19:00:00,26550.00000000,26539.90000000,26564.38000000,26515.99000000,591.34861000,1.0
2023-06-08 20:00:00,26539.86000000,26637.30000000,26649.97000000,26521.07000000,958.11632000,1.0
2023-06-08 21:00:00,26637.31000000,26573.42000000,26644.51000000,26552.00000000,663.12157000,1.0
2023-06-08 22:00:00,26573.42000000,26544.38000000,26601.77000000,26525.89000000,545.50744000,1.0
2023-06-08 23:00:00,26544.39000000,26498.61000000,26553.53000000,26488.01000000,644.13075000,1.0
2023-06-09 00:00:00,26498.62000000,26456.95000000,26509.72000000,26430.00000000,935.16043000,1.0
2023-06-09 01:00:00,26456.95000000,26504.21000000,26596.58000000,26439.98000000,1113.87611000,1.0
2023-06-09 02:00:00,26504.21000000,26457.51000000,26537.18000000,26269.91000000,2532.48238000,1.0
2023-06-09 03:00:00,26457.50000000,26483.70000000,26501.75000000,26439.11000000,741.00860000,1.0
2023-06-09 04:00:00,26483.69000000,26491.38000000,26507.11000000,26424.35000000,877.26907000,1.0
2023-06-09 05:00:00,26491.38000000,26504.54000000,26533.30000000,26475.51000000,683.74932000,1.0
2023-06-09 06:00:00,26504.54000000,26492.93000000,26576.55000000,26475.24000000,1051.33756000,1.0
2023-06-09 07:00:00,26492.92000000,26493.43000000,26500.00000000,26440.38000000,1003.56886000,1.0
2023-06-09 08:00:00,26493.44000000,26642.37000000,26650.00000000,26491.66000000,1657.03118000,1.0
2023-06-09 09:00:00,26642.38000000,26639.03000000,26685.43000000,26591.00000000,1272.29010000,1.0
2023-06-09 10:00:00,26639.03000000,26635.40000000,26675.82000000,26602.51000000,988.92677000,1.0
2023-06-09 11:00:00,26635.39000000,26610.19000000,26644.96000000,26560.00000000,968.93409000,1.0
2023-06-09 12:00:00,26610.18000000,26673.76000000,26699.99000000,26610.18000000,1186.08180000,1.0
2023-06-09 13:00:00,26673.75000000,26634.65000000,26783.33000000,26627.21000000,2351.81394000,1.0
2023-06-09 14:00:00,26634.64000000,26594.64000000,26712.52000000,26536.96000000,1793.16256000,1.0
2023-06-09 15:00:00,26594.63000000,26477.37000000,26633.76000000,26452.86000000,1874.56230000,1.0
2023-06-09 16:00:00,26477.36000000,26482.84000000,26529.54000000,26442.98000000,1257.10608000,1.0
2023-06-09 17:00:00,26482.83000000,26496.06000000,26515.00000000,26417.92000000,1105.22958000,1.0
2023-06-09 18:00:00,26496.05000000,26450.00000000,26516.71000000,26412.44000000,917.15989000,1.0
2023-06-09 19:00:00,26450.00000000,26407.15000000,26490.00000000,26383.05000000,1165.90636000,1.0
2023-06-09 20:00:00,26407.15000000,26451.16000000,26470.00000000,26397.11000000,869.25481000,1.0
2023-06-09 21:00:00,26451.16000000,26479.52000000,26499.50000000,26445.75000000,534.36400000,1.0
2023-06-09 22:00:00,26479.51000000,26492.69000000,26500.00000000,26458.07000000,472.82674000,1.0
2023-06-09 23:00:00,26492.69000000,26477.81000000,26498.17000000,26449.78000000,581.60717000,1.0
2023-06-10 00:00:00,26477.80000000,26459.99000000,26487.26000000,26450.00000000,665.29959000,1.0
2023-06-10 01:00:00,26459.99000000,26396.93000000,26533.87000000,26311.31000000,1547.82949000,1.0
2023-06-10 02:00:00,26396.94000000,26326.92000000,26437.08000000,26280.00000000,1554.34919000,1.0
2023-06-10 03:00:00,26326.93000000,26323.07000000,26365.74000000,26266.00000000,1254.18152000,1.0
2023-06-10 04:00:00,26323.07000000,25765.28000000,26349.17000000,25715.46000000,9775.41263000,1.0
2023-06-10 05:00:00,25765.29000000,25518.06000000,25808.12000000,25456.41000000,7756.38422000,1.0
2023-06-10 06:00:00,25518.06000000,25538.81000000,25638.93000000,25457.46000000,5172.67080000,1.0
2023-06-10 07:00:00,25538.81000000,25651.09000000,25743.80000000,25493.27000000,5389.58832000,1.0
2023-06-10 08:00:00,25651.08000000,25669.07000000,25750.25000000,25561.25000000,3349.48241000,1.0
2023-06-10 09:00:00,25669.06000000,25651.88000000,25682.78000000,25614.85000000,1441.75021000,1.0
2023-06-10 10:00:00,25651.89000000,25698.31000000,25701.68000000,25598.49000000,1177.12476000,1.0
2023-06-10 11:00:00,25698.30000000,25731.40000000,25739.29000000,25659.07000000,1197.11154000,1.0
2023-06-10 12:00:00,25731.41000000,25616.18000000,25731.41000000,25608.58000000,1533.27880000,1.0
2023-06-10 13:00:00,25616.19000000,25657.49000000,25679.06000000,25572.94000000,1219.23391000,1.0
2023-06-10 14:00:00,25657.50000000,25668.34000000,25706.57000000,25627.00000000,1412.86466000,1.0
2023-06-10 15:00:00,25668.35000000,25628.80000000,25679.93000000,25600.00000000,1103.39326000,1.0
2023-06-10 16:00:00,25628.81000000,25588.67000000,25649.50000000,25582.01000000,1188.53634000,1.0
2023-06-10 17:00:00,25588.67000000,26022.34000000,26154.00000000,25400.00000000,7288.38030000,1.0
2023-06-10 18:00:00,26022.34000000,25547.28000000,26043.49000000,25358.00000000,4939.79125000,1.0
2023-06-10 19:00:00,25547.28000000,25750.00000000,25750.95000000,25540.56000000,1558.21510000,1.0
2023-06-10 20:00:00,25750.01000000,25751.25000000,25873.54000000,25679.59000000,1741.52798000,1.0
2023-06-10 21:00:00,25751.25000000,25761.28000000,25829.72000000,25687.26000000,928.70332000,1.0
2023-06-10 22:00:00,25761.29000000,25875.16000000,25932.02000000,25745.78000000,1084.66850000,1.0
2023-06-10 23:00:00,25875.17000000,25841.21000000,25892.38000000,25830.00000000,664.82298000,1.0
2023-06-11 00:00:00,25841.22000000,25750.28000000,25850.00000000,25730.86000000,1006.26589000,1.0
2023-06-11 01:00:00,25750.27000000,25824.99000000,25864.32000000,25718.97000000,1035.45895000,1.0
2023-06-11 02:00:00,25824.99000000,25766.72000000,25827.93000000,25747.28000000,1166.38053000,1.0
2023-06-11 03:00:00,25766.71000000,25727.51000000,25770.00000000,25695.00000000,1010.00082000,1.0
2023-06-11 04:00:00,25727.51000000,25727.74000000,25759.99000000,25634.70000000,1218.85905000,1.0
2023-06-11 05:00:00,25727.74000000,25819.10000000,25834.59000000,25727.74000000,913.31373000,1.0
2023-06-11 06:00:00,25819.10000000,25786.49000000,25823.91000000,25767.34000000,595.08665000,1.0
2023-06-11 07:00:00,25786.49000000,25741.33000000,25796.88000000,25740.02000000,941.71498000,1.0
2023-06-11 08:00:00,25741.32000000,25740.20000000,25768.54000000,25695.08000000,643.87081000,1.0
2023-06-11 09:00:00,25740.21000000,25706.26000000,25772.97000000,25701.42000000,797.94329000,1.0
2023-06-11 10:00:00,25706.25000000,25774.08000000,25795.27000000,25695.00000000,1170.50916000,1.0
2023-06-11 11:00:00,25774.08000000,25796.06000000,25842.44000000,25757.13000000,1164.36338000,1.0
2023-06-11 12:00:00,25796.05000000,25750.00000000,25798.72000000,25747.61000000,809.95086000,1.0
2023-06-11 13:00:00,25750.01000000,25703.33000000,25776.13000000,25672.68000000,1389.19458000,1.0
2023-06-11 14:00:00,25703.32000000,25753.19000000,25806.11000000,25694.72000000,950.15240000,1.0
2023-06-11 15:00:00,25753.18000000,25751.36000000,25778.08000000,25732.95000000,932.80837000,1.0
2023-06-11 16:00:00,25751.36000000,25868.39000000,25953.24000000,25738.07000000,2437.41159000,1.0
2023-06-11 17:00:00,25868.39000000,25941.63000000,26080.74000000,25836.88000000,2832.13906000,1.0
2023-06-11 18:00:00,25941.63000000,25975.00000000,26047.58000000,25927.86000000,1574.00804000,1.0
2023-06-11 19:00:00,25974.99000000,26030.89000000,26106.66000000,25934.56000000,1470.74385000,1.0
2023-06-11 20:00:00,26030.89000000,26123.68000000,26206.88000000,26030.88000000,1809.46899000,1.0
